RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
66.0,0.0,1.1859339555122164,0.9955,0.7176311894911773,0.9029182358403635,0.9500326394186552,0.9690567285021355,0.9029182358403635
67.0,0.0,1.2039352505441558,0.9955,0.7140260082069994,0.9015196798772739,0.9492937449233908,0.9685944937457136,0.9015196798772739
68.0,0.0,1.2218907673191277,0.9955,0.7104480375768152,0.9001268385267839,0.9485573019667907,0.9681336541202225,0.9001268385267839
69.0,0.0,1.2401475007039076,0.9955,0.7068284262460415,0.8987128376322162,0.9478090904257962,0.967665308387785,0.8987128376322162
70.0,0.0,1.258490819341115,0.9955,0.7032102209239628,0.897294367691872,0.9470579247665873,0.9671949696383684,0.897294367691872
71.0,0.0,1.2764172673320913,0.9955,0.6996921384557069,0.8959102970348694,0.9463244052974398,0.9667355406946182,0.8959102970348694
72.0,0.0,1.2945602312658508,0.9955,0.6961494848952147,0.8945116832894968,0.9455826048288694,0.9662707849636736,0.8945116832894968
73.0,0.0,1.3126408694439975,0.9955,0.6926368460678287,0.8931200462973921,0.944843931122862,0.965807848068712,0.8931200462973921
74.0,0.0,1.3311624970504152,0.9955,0.6890569105317719,0.8916967119380395,0.9440878393751791,0.965333850045477,0.8916967119380395
75.0,0.0,1.349238463739805,0.9955,0.6855809555384406,0.8903098124854254,0.9433505238303302,0.9648714814969607,0.8903098124854254
76.0,0.0,1.367246225123036,0.9955,0.6821355517086342,0.8889302910868205,0.9426165629437311,0.9644110777949526,0.8889302910868205
77.0,0.0,1.3850272824514602,0.9955,0.6787505126178904,0.8875702341812266,0.9418924023795483,0.9639566857844629,0.8875702341812266
78.0,0.0,1.403104932635272,0.9955,0.6753262302765136,0.8861896243707704,0.9411567329483305,0.9634949338693283,0.8861896243707704
79.0,0.0,1.4212787120056587,0.9955,0.6719011523881586,0.8848038377533257,0.9404177307312955,0.9630309495100007,0.8848038377533257
80.0,0.0,1.4396044192878772,0.9955,0.6684650310523272,0.8834086606077574,0.9396731382188581,0.9625633126135484,0.8834086606077574
81.0,0.0,1.4574060790357417,0.9955,0.6651439967614963,0.8820554868850338,0.9389504028033278,0.9621092658374993,0.8820554868850338
82.0,0.0,1.4761642023826615,0.9955,0.6616623783124581,0.8806318513490324,0.9381894370842483,0.9616310553724806,0.8806318513490324
83.0,0.0,1.4942703271336095,0.9955,0.6583190606786584,0.8792598781962538,0.9374555061067885,0.9611696920861105,0.8792598781962538
84.0,0.0,1.5125129640070663,0.9955,0.6549676207035013,0.8778797226562581,0.9367166222675094,0.9607050741842311,0.8778797226562581
85.0,0.0,1.530934975341416,0.9955,0.6516005410541754,0.8764881949010233,0.9359710641913248,0.9602361157454542,0.8764881949010233
86.0,0.0,1.5489593262940882,0.9955,0.648322897484741,0.8751288397094211,0.9352421741841253,0.9597775018752116,0.8751288397094211
87.0,0.0,1.5667125317536919,0.9955,0.6451106777081881,0.8737919946100055,0.9345248039618926,0.9593260011844386,0.8737919946100055
88.0,0.0,1.585285130273169,0.9955,0.6417672320071963,0.8723956335558793,0.9337749126925804,0.958853888960535,0.8723956335558793
89.0,0.0,1.6034846166958308,0.9955,0.6385077642218254,0.8710294892196091,0.9330406700057687,0.9583914865676603,0.8710294892196091
90.0,0.0,1.6214627567522086,0.9955,0.6353041928798074,0.8696820607292112,0.9323159242074143,0.9579349269597224,0.8696820607292112
91.0,0.0,1.6399112745555098,0.9955,0.6320335124941636,0.868301545168706,0.9315728014866063,0.9574666480905544,0.868301545168706
92.0,0.0,1.658058902139405,0.9955,0.6288326049164237,0.8669456835353231,0.9308423768042279,0.9570062300652823,0.8669456835353231
93.0,0.0,1.6761767943923418,0.9955,0.6256531131916299,0.865594155507011,0.9301137202430406,0.9565467873041,0.865594155507011
94.0,0.0,1.6940198468348449,0.9955,0.6225375653833971,0.8642651888016962,0.929396674531489,0.9560945296489322,0.8642651888016962
95.0,0.0,1.7119431882516598,0.9955,0.6194236176065328,0.8629322962819105,0.9286769588283943,0.9556404522287995,0.8629322962819105
96.0,0.0,1.7301342123378598,0.9955,0.6162790897629175,0.8615815990790833,0.9279470641555204,0.9551798137334945,0.8615815990790833
97.0,0.0,1.7480678870362836,0.9955,0.6131946742602206,0.8602520797915482,0.9272280568890802,0.9547259092637963,0.8602520797915482
98.0,0.0,1.7661677106573936,0.9955,0.6100973349212162,0.8589123231851048,0.9265029531616733,0.9542680182388646,0.8589123231851048
99.0,0.0,1.7837683042759225,0.9955,0.6071004310030198,0.8576115208276924,0.9257983930714605,0.9538229673864161,0.8576115208276924
100.0,0.0,1.802037707005225,0.9955,0.6040052170936353,0.8562633726808642,0.9250676269399198,0.9533612244834783,0.8562633726808642
